,PERSON_ID,DISPLAY_LAST_COMMA_FIRST,DISPLAY_FIRST_LAST,ROSTERSTATUS,FROM_YEAR,TO_YEAR,PLAYERCODE,PLAYER_SLUG,TEAM_ID,TEAM_CITY,TEAM_NAME,TEAM_ABBREVIATION,TEAM_SLUG,TEAM_CODE,GAMES_PLAYED_FLAG,OTHERLEAGUE_EXPERIENCE_CH
298,1627814,"Lee, Damion",Damion Lee,1,2017,2023,damion_lee,damion_lee,1610612756,Phoenix,Suns,PHX,suns,suns,Y,01
299,1630240,"Lee, Saben",Saben Lee,1,2020,2023,saban_lee,saben_lee,1610612756,Phoenix,Suns,PHX,suns,suns,Y,01
300,203458,"Len, Alex",Alex Len,1,2013,2023,alex_len,alex_len,1610612758,Sacramento,Kings,SAC,kings,kings,Y,00
301,202695,"Leonard, Kawhi",Kawhi Leonard,1,2011,2023,kawhi_leonard,kawhi_leonard,1610612746,LA,Clippers,LAC,clippers,clippers,Y,00
302,1641721,"Lewis, Maxwell",Maxwell Lewis,1,2023,2023,maxwell_lewis,maxwell_lewis,1610612747,Los Angeles,Lakers,LAL,lakers,lakers,Y,11
303,1630184,"Lewis Jr., Kira",Kira Lewis Jr.,1,2020,2023,kira_lewis_jr,kira_lewis_jr,1610612762,Utah,Jazz,UTA,jazz,jazz,Y,11
304,1630604,"Liddell, E.J.",E.J. Liddell,1,2022,2023,ej_liddell,ej_liddell,1610612740,New Orleans,Pelicans,NOP,pelicans,pelicans,Y,11
305,203081,"Lillard, Damian",Damian Lillard,1,2012,2023,damian_lillard,damian_lillard,1610612749,Milwaukee,Bucks,MIL,bucks,bucks,Y,00
306,1629642,"Little, Nassir",Nassir Little,1,2019,2023,nassir_little,nassir_little,1610612756,Phoenix,Suns,PHX,suns,suns,Y,00
307,1641726,"Lively II, Dereck",Dereck Lively II,1,2023,2023,dereck_lively_ii,dereck_lively_ii,1610612742,Dallas,Mavericks,DAL,mavericks,mavericks,Y,00
308,1630587,"Livers, Isaiah",Isaiah Livers,0,2021,2023,isaiah_livers,isaiah_livers,0,,,,,,Y,01
309,1641753,"Livingston, Chris",Chris Livingston,1,2023,2023,chris_livingston,chris_livingston,1610612749,Milwaukee,Bucks,MIL,bucks,bucks,Y,11
310,1631254,"Lofton Jr., Kenneth",Kenneth Lofton Jr.,1,2022,2023,kenneth_lofton_jr,kenneth_lofton_jr,1610612762,Utah,Jazz,UTA,jazz,jazz,Y,11
311,1626172,"Looney, Kevon",Kevon Looney,1,2015,2023,kevon_looney,kevon_looney,1610612744,Golden State,Warriors,GSW,warriors,warriors,Y,01
312,201572,"Lopez, Brook",Brook Lopez,1,2008,2023,brook_lopez,brook_lopez,1610612749,Milwaukee,Bucks,MIL,bucks,bucks,Y,00
313,201577,"Lopez, Robin",Robin Lopez,0,2008,2023,robin_lopez,robin_lopez,0,,,,,,Y,00
314,201567,"Love, Kevin",Kevin Love,1,2008,2023,kevin_love,kevin_love,1610612748,Miami,Heat,MIA,heat,heat,Y,00
315,200768,"Lowry, Kyle",Kyle Lowry,1,2006,2023,kyle_lowry,kyle_lowry,1610612755,Philadelphia,76ers,PHI,sixers,sixers,Y,00
316,1641754,"Lundy, Seth",Seth Lundy,1,2023,2023,seth_lundy,seth_lundy,1610612737,Atlanta,Hawks,ATL,hawks,hawks,Y,11
317,1626168,"Lyles, Trey",Trey Lyles,1,2015,2023,trey_lyles,trey_lyles,1610612758,Sacramento,Kings,SAC,kings,kings,Y,00
318,1630177,"Maledon, Theo",Theo Maledon,0,2020,2023,theo_maledon,theo_maledon,0,,,,,,Y,11
319,1630572,"Mamukelashvili, Sandro",Sandro Mamukelashvili,1,2021,2023,sandro_mamukelashvili,sandro_mamukelashvili,1610612759,San Antonio,Spurs,SAS,spurs,spurs,Y,01
320,1629611,"Mann, Terance",Terance Mann,1,2019,2023,terance_mann,terance_mann,1610612746,LA,Clippers,LAC,clippers,clippers,Y,01
321,1630544,"Mann, Tre",Tre Mann,1,2021,2023,tre_mann,tre_mann,1610612766,Charlotte,Hornets,CHA,hornets,hornets,Y,11
322,1626246,"Marjanovic, Boban",Boban Marjanovic,1,2015,2023,boban_marjanovic,boban_marjanovic,1610612745,Houston,Rockets,HOU,rockets,rockets,Y,01
323,1628374,"Markkanen, Lauri",Lauri Markkanen,1,2017,2023,lauri_markkanen,lauri_markkanen,1610612762,Utah,Jazz,UTA,jazz,jazz,Y,00
324,1630230,"Marshall, Naji",Naji Marshall,1,2020,2023,naji_marshall,naji_marshall,1610612740,New Orleans,Pelicans,NOP,pelicans,pelicans,Y,01
325,1628997,"Martin, Caleb",Caleb Martin,1,2019,2023,caleb_martin,caleb_martin,1610612748,Miami,Heat,MIA,heat,heat,Y,01
326,1628998,"Martin, Cody",Cody Martin,1,2019,2023,cody_martin,cody_martin,1610612766,Charlotte,Hornets,CHA,hornets,hornets,Y,01
327,1641798,"Martin, Jaylen",Jaylen Martin,1,2023,2023,jaylen_martin,jaylen_martin,1610612751,Brooklyn,Nets,BKN,nets,nets,Y,11
328,1630231,"Martin, KJ",KJ Martin,1,2020,2023,kenyon_martin_jr,kj_martin,1610612755,Philadelphia,76ers,PHI,sixers,sixers,Y,01
329,1629726,"Mathews, Garrison",Garrison Mathews,1,2019,2023,garrison_mathews,garrison_mathews,1610612737,Atlanta,Hawks,ATL,hawks,hawks,Y,01
330,1631097,"Mathurin, Bennedict",Bennedict Mathurin,1,2022,2023,bennedict_mathurin,bennedict_mathurin,1610612754,Indiana,Pacers,IND,pacers,pacers,Y,00
331,202083,"Matthews, Wesley",Wesley Matthews,1,2009,2023,wesley_matthews,wesley_matthews,1610612737,Atlanta,Hawks,ATL,hawks,hawks,Y,00
332,1630178,"Maxey, Tyrese",Tyrese Maxey,1,2020,2023,tyrese_maxey,tyrese_maxey,1610612755,Philadelphia,76ers,PHI,sixers,sixers,Y,00
333,1630219,"Mays, Skylar",Skylar Mays,1,2020,2023,skylar_mays,skylar_mays,1610612747,Los Angeles,Lakers,LAL,lakers,lakers,Y,11
334,1630540,"McBride, Miles",Miles McBride,1,2021,2023,miles_mcbride,miles_mcbride,1610612752,New York,Knicks,NYK,knicks,knicks,Y,01
335,203468,"McCollum, CJ",CJ McCollum,1,2013,2023,cj_mccollum,cj_mccollum,1610612740,New Orleans,Pelicans,NOP,pelicans,pelicans,Y,01
336,204456,"McConnell, T.J.",T.J. McConnell,1,2015,2023,t.j._mcconnell,tj_mcconnell,1610612754,Indiana,Pacers,IND,pacers,pacers,Y,00
